Date,Open,High,Low,Close,Adj Close,Volume
2021-03-17,0.009174,0.009198,0.009154,0.009189,0.009189,106
2021-03-18,0.009194,0.009198,0.009153,0.009178,0.009178,227
2021-03-19,0.009184,0.009205,0.009167,0.009187,0.009187,84
2021-03-22,0.009205,0.009206,0.009185,0.009194,0.009194,44
2021-03-23,0.009191,0.009225,0.009189,0.009198,0.009198,70
2021-03-24,0.009216,0.009220,0.009183,0.009202,0.009202,46
2021-03-25,0.009189,0.009189,0.009158,0.009166,0.009166,65
2021-03-26,0.009155,0.009159,0.009110,0.009119,0.009119,67
2021-03-29,0.009112,0.009142,0.009106,0.009108,0.009108,72
2021-03-30,0.009111,0.009111,0.009060,0.009063,0.009063,37
2021-03-31,0.009051,0.009051,0.009019,0.009031,0.009031,77
2021-04-01,0.009027,0.009046,0.009022,0.009041,0.009041,47
2021-04-05,0.009042,0.009090,0.009038,0.009078,0.009078,43
2021-04-06,0.009077,0.009114,0.009048,0.009104,0.009104,85
2021-04-07,0.009113,0.009117,0.009102,0.009108,0.009108,35
2021-04-08,0.009104,0.009170,0.009104,0.009153,0.009153,75
2021-04-09,0.009146,0.009151,0.009100,0.009120,0.009120,38
2021-04-12,0.009114,0.009141,0.009112,0.009139,0.009139,11
2021-04-13,0.009127,0.009169,0.009127,0.009168,0.009168,34
2021-04-14,0.009181,0.009193,0.009172,0.009179,0.009179,43
2021-04-15,0.009185,0.009205,0.009179,0.009203,0.009203,40
2021-04-16,0.009201,0.009201,0.009185,0.009192,0.009192,610
2021-04-19,0.009189,0.009255,0.009189,0.009244,0.009244,50
2021-04-20,0.009245,0.009256,0.009217,0.009251,0.009251,32
2021-04-21,0.009267,0.009267,0.009240,0.009253,0.009253,20
2021-04-22,0.009258,0.009263,0.009244,0.009252,0.009252,64
2021-04-23,0.009271,0.009292,0.009252,0.009267,0.009267,27
2021-04-26,0.009271,0.009289,0.009248,0.009251,0.009251,22
2021-04-27,0.009247,0.009249,0.009197,0.009197,0.009197,24
2021-04-28,0.009179,0.009202,0.009178,0.009202,0.009202,30
2021-04-29,0.009216,0.009216,0.009162,0.009186,0.009186,13
2021-04-30,0.009179,0.009196,0.009149,0.009150,0.009150,22
2021-05-03,0.009147,0.009178,0.009120,0.009166,0.009166,11
2021-05-04,0.009172,0.009172,0.009150,0.009151,0.009151,18
2021-05-05,0.009148,0.009154,0.009148,0.009154,0.009154,5
2021-05-06,0.009150,0.009172,0.009147,0.009172,0.009172,40
2021-05-07,0.009164,0.009228,0.009160,0.009208,0.009208,39
2021-05-10,0.009209,0.009209,0.009173,0.009190,0.009190,144
2021-05-11,0.009178,0.009215,0.009175,0.009204,0.009204,43
2021-05-12,0.009193,0.009201,0.009116,0.009125,0.009125,59
2021-05-13,0.009117,0.009136,0.009109,0.009136,0.009136,242
2021-05-14,0.009122,0.009152,0.009120,0.009144,0.009144,144
2021-05-17,0.009137,0.009165,0.009134,0.009154,0.009154,73341
2021-05-18,0.009159,0.009191,0.009152,0.009187,0.009187,74586
2021-05-19,0.009186,0.009213,0.009147,0.009159,0.009159,131889
2021-05-20,0.009159,0.009197,0.009150,0.009192,0.009192,78625
2021-05-21,0.009193,0.009209,0.009175,0.009182,0.009182,77018
2021-05-24,0.009182,0.009201,0.009176,0.009194,0.009194,64420
2021-05-25,0.009195,0.009213,0.009169,0.009200,0.009200,110202
2021-05-26,0.009196,0.009199,0.009161,0.009165,0.009165,91770
2021-05-27,0.009165,0.009171,0.009097,0.009109,0.009109,126844
2021-05-28,0.009104,0.009113,0.009075,0.009109,0.009109,116844
2021-06-01,0.009105,0.009147,0.009097,0.009140,0.009140,143820
2021-06-02,0.009134,0.009137,0.009101,0.009127,0.009127,93794
2021-06-03,0.009128,0.009128,0.009064,0.009066,0.009066,97734
2021-06-04,0.009066,0.009144,0.009064,0.009131,0.009131,131097
2021-06-07,0.009131,0.009159,0.009122,0.009154,0.009154,99606
2021-06-08,0.009155,0.009158,0.009128,0.009133,0.009133,103590
2021-06-09,0.009134,0.009156,0.009120,0.009127,0.009127,141563
2021-06-10,0.009122,0.009150,0.009108,0.009139,0.009139,127600
2021-06-11,0.009147,0.009148,0.009104,0.009115,0.009115,24505
2021-06-14,0.009120,0.009121,0.009097,0.009097,0.009097,24
2021-06-15,0.009089,0.009092,0.009081,0.009085,0.009085,44
2021-06-16,0.009083,0.009106,0.009038,0.009053,0.009053,175
2021-06-17,0.009033,0.009078,0.009027,0.009073,0.009073,58
2021-06-18,0.009068,0.009090,0.009057,0.009081,0.009081,58
2021-06-21,0.009080,0.009109,0.009065,0.009070,0.009070,46
2021-06-22,0.009073,0.009076,0.009028,0.009042,0.009042,23
2021-06-23,0.009033,0.009036,0.009009,0.009014,0.009014,22
2021-06-24,0.009007,0.009023,0.009007,0.009023,0.009023,10
2021-06-25,0.009014,0.009053,0.009014,0.009024,0.009024,15
2021-06-28,0.009024,0.009049,0.009024,0.009049,0.009049,32
2021-06-29,0.009049,0.009054,0.009035,0.009051,0.009051,25
2021-06-30,0.009047,0.009050,0.009000,0.009003,0.009003,24
2021-07-01,0.009003,0.009004,0.008960,0.008960,0.008960,102
2021-07-02,0.008961,0.008995,0.008956,0.008992,0.008992,33
2021-07-06,0.008997,0.009047,0.008995,0.009041,0.009041,119
2021-07-07,0.009054,0.009058,0.009027,0.009041,0.009041,46
2021-07-08,0.009045,0.009127,0.009042,0.009107,0.009107,53
2021-07-09,0.009103,0.009103,0.009070,0.009078,0.009078,33
2021-07-12,0.009078,0.009088,0.009060,0.009065,0.009065,75
2021-07-13,0.009060,0.009072,0.009042,0.009042,0.009042,142
2021-07-14,0.009042,0.009090,0.009042,0.009090,0.009090,264
2021-07-15,0.009094,0.009106,0.009086,0.009106,0.009106,118
2021-07-16,0.009093,0.009093,0.009067,0.009085,0.009085,42
2021-07-19,0.009094,0.009163,0.009094,0.009159,0.009159,322
2021-07-20,0.009136,0.009136,0.009101,0.009108,0.009108,53
2021-07-21,0.009077,0.009077,0.009065,0.009070,0.009070,58
2021-07-22,0.009082,0.009089,0.009080,0.009080,0.009080,9
2021-07-23,0.009069,0.009069,0.009046,0.009046,0.009046,25
2021-07-26,0.009050,0.009079,0.009050,0.009061,0.009061,26
2021-07-27,0.009076,0.009124,0.009076,0.009116,0.009116,126
2021-07-28,0.009103,0.009103,0.009071,0.009094,0.009094,118
2021-07-29,0.009105,0.009138,0.009105,0.009136,0.009136,82
2021-07-30,0.009136,0.009136,0.009108,0.009112,0.009112,78
2021-08-02,0.009116,0.009157,0.009113,0.009155,0.009155,49
2021-08-03,0.009150,0.009185,0.009150,0.009166,0.009166,173
2021-08-04,0.009171,0.009194,0.009127,0.009136,0.009136,200
2021-08-05,0.009120,0.009140,0.009109,0.009112,0.009112,73
2021-08-06,0.009108,0.009108,0.009066,0.009073,0.009073,159
2021-08-09,0.009076,0.009081,0.009068,0.009068,0.009068,81
2021-08-10,0.009061,0.009061,0.009043,0.009044,0.009044,110
2021-08-11,0.009060,0.009060,0.009049,0.009054,0.009054,65
2021-08-12,0.009062,0.009062,0.009047,0.009053,0.009053,15
2021-08-13,0.009082,0.009124,0.009081,0.009124,0.009124,147
2021-08-16,0.009145,0.009156,0.009145,0.009156,0.009156,99232
2021-08-17,0.009155,0.009166,0.009121,0.009128,0.009128,101767
2021-08-18,0.009127,0.009135,0.009086,0.009102,0.009102,89924
2021-08-19,0.009108,0.009135,0.009073,0.009109,0.009109,108444
2021-08-20,0.009113,0.009128,0.009102,0.009108,0.009108,73585
2021-08-23,0.009111,0.009121,0.009080,0.009119,0.009119,75866
2021-08-24,0.009120,0.009141,0.009101,0.009118,0.009118,77262
2021-08-25,0.009121,0.009121,0.009081,0.009094,0.009094,84401
2021-08-26,0.009091,0.009098,0.009073,0.009090,0.009090,81776
